Number of Rows (Aggregated),CGM_Client,Ad set name,Ad name,Month,Year,Platform,Placement,Device platform,Reach,Impressions,Cost per result,Amount spent (USD),CPC (cost per link click),Link clicks,Clicks (all),CPC (all),"CPM (cost per 1,000 impressions)",CTR (all),Frequency
28,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,instant_article,mobile_app,192,229,,22.35,13.02,5,6,13.76,2163.03,49.36,32.3
28,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,marketplace,mobile_app,189,194,,13.51,2.53,2,2,2.53,1624.44,13.33,28.41
28,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,instream_video,mobile_app,185,190,,12.15,1.35,6,6,1.35,1470.98,86.21,28.41
29,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,marketplace,desktop,161,174,,1.77,,,0,,267.94,0,31.23
29,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,facebook_stories,mobile_app,189,195,,15.71,2.86,3,3,2.86,1988.46,26.42,29.5
30,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,instant_article,mobile_app,444,544,,12.62,4.69,9,14,7.29,885.56,212.26,37.97
30,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,marketplace,mobile_app,315,349,,14.3,4.55,5,5,4.55,859.19,17,31.87
30,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,feed,mobile_web,190,197,,14.87,,,3,0.15,2147.48,50,30.75
31,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,audience_network,rewarded_video,mobile_app,601,770,,68.42,39.46,16,16,39.46,3045.13,80.37,39.13
32,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,instream_video,mobile_app,252,268,,12.23,3.32,7,9,2.84,1210.8,53.89,34.16
33,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,feed,desktop,1206,1272,,144.75,54.03,23,35,67.19,5275.74,117.86,34.14
33,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
34,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,audience_network,an_classic,mobile_app,2618,3672,,238.29,110.53,46,46,110.53,2717.06,42.47,46.99
34,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,facebook_stories,mobile_app,279,285,,15.55,2.44,6,6,2.44,2884.01,142.76,34.58
34,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,video_feeds,mobile_app,2163,2202,,83.78,40.38,28,48,29.48,1129.45,61.49,34.48
34,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,feed,mobile_app,5166,5616,,521.76,152.8,128,199,104.3,4196.14,135.83,35.94
35,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,11,2021,audience_network,an_classic,mobile_app,2748,3773,,156.96,63.1,39,39,63.1,1670.43,42.25,47.81
36,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,feed,mobile_web,388,418,,16.98,4.19,4,23,8.34,1763.08,213.97,38.34
36,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,11,2021,audience_network,rewarded_video,mobile_app,794,957,,53.32,22.74,14,14,22.74,2521.9,77.39,45.06
36,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,11,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
38,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,feed,mobile_app,8114,9212,,560.23,101.24,179,283,80.76,2766.63,144.61,41.73
38,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,feed,desktop,2444,2621,,186.2,81.37,40,53,81.65,3539.08,89.54,40
38,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,11,2021,instagram,feed,mobile_app,1716,1738,,84.86,38.22,19,19,38.22,1911.64,54.06,38.44
38,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,video_feeds,mobile_app,5551,5707,,143.35,35.64,111,172,26.02,819.24,97.03,39.12
1,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,search,mobile_app,1,1,,0.08,,,0,,80,0,1
4,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,12,2021,audience_network,an_classic,desktop,5,6,,0.14,,,0,,94.67,0,4.5
6,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,12,2021,instagram,instagram_explore,mobile_app,7,7,,0.14,,,0,,120.49,0,6
6,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,instagram,instagram_explore,mobile_app,6,6,,0.19,,,0,,190,0,6
10,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,audience_network,an_classic,desktop,18,30,,0.57,,,0,,177.58,0,16.33
10,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,12,2021,audience_network,rewarded_video,desktop,16,27,,3.55,2.07,1,1,2.07,1459.44,20,14.25
11,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,marketplace,desktop,17,17,,0.01,,,0,,10,0,11
11,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,audience_network,rewarded_video,desktop,13,17,,0.55,,,0,,327.58,0,13.5
15,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,12,2021,instagram,instagram_reels,mobile_app,51,52,,4.02,,,0,,1105.75,0,15.17
16,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,marketplace,desktop,25,26,,0.27,,,0,,172.77,0,17
20,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,12,2021,instagram,instagram_stories,mobile_app,74,78,,1.88,,,0,,485.44,0,20.68
21,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,marketplace,mobile_app,115,119,,4.92,1.62,4,4,1.62,843.04,70,21.39
22,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,instream_video,mobile_app,110,112,,1.08,,,0,,292.43,0,22.22
23,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,12,2021,audience_network,rewarded_video,mobile_app,130,175,,12.39,0.9,2,2,0.9,1852.48,22.62,30.97
26,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,instagram,instagram_stories,mobile_app,41,41,,2.7,0.24,1,1,0.24,2039.06,33.33,26
26,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,feed,mobile_web,398,437,,16.22,1.46,1,11,4.47,1005.56,103.51,28.04
26,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,video_feeds,mobile_app,3094,3282,,63.56,37.57,28,40,31.2,515.81,31.96,27.42
26,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,feed,desktop,298,315,,27.17,4.73,6,7,6.36,2291.8,45.41,27.46
26,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,feed,mobile_app,20250,23151,,824.04,119.71,253,394,83.84,1019.89,43.72,29.69
26,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,12,2021,instagram,feed,mobile_app,998,1005,,57.61,15.3,7,7,15.3,1515.79,15.31,26.16
26,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,12,2021,audience_network,an_classic,mobile_app,394,596,,33.62,8.28,7,7,8.28,1428.01,30.07,41.83
26,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,instant_article,mobile_app,973,1206,,6.68,2.43,12,14,2.3,125.86,20.23,31.26
26,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,facebook_stories,mobile_app,976,993,,38.51,15.89,16,16,15.89,1051.73,37.71,26.39
27,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,12,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
35,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,instream_video,mobile_app,281,286,,7,0.89,4,4,0.89,1197.31,176.25,36.25
36,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,marketplace,mobile_app,147,154,,7.32,,,0,,1290.36,0,38.11
42,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,instant_article,mobile_app,894,1092,,11.39,5.54,10,15,5.45,366.07,50.36,48.57
44,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,feed,mobile_web,379,412,,25.35,4.3,8,24,4.99,3526.33,128.75,46.7
45,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,instagram,feed,mobile_app,517,521,,47.29,13.57,14,14,13.57,3897.64,133.1,44.28
45,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
46,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,facebook_stories,mobile_app,411,419,,24.17,3.01,4,4,3.01,2521.79,48.85,46.81
46,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,audience_network,an_classic,mobile_app,1492,2298,,207.04,71.24,36,36,71.24,4177.16,78.71,71.55
46,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,feed,mobile_app,16100,18532,,1086.65,163.7,323,550,99.61,2816.83,144.26,51.88
46,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,video_feeds,mobile_app,2149,2218,,62.53,22.3,32,47,25.28,1280.27,115.99,47.41
46,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,audience_network,rewarded_video,mobile_app,438,616,,65.41,19.88,14,14,19.88,5252.25,95.68,64.11
46,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,12,2021,facebook,feed,desktop,722,760,,83.41,42.91,19,27,43.07,5608.98,152.75,47.99
1,CGM_RISE_UP,Dexcom,CGM image to Lady,4,2020,audience_network,an_classic,mobile_app,26,34,,0.97,0.49,2,2,0.49,28.53,5.88,1.31
1,CGM_RISE_UP,Medtronic | Short Lander | CGM Product,CGM image to Lady,4,2020,instagram,feed,mobile_app,6,6,,0.12,,,0,,20,0,1
1,CGM_RISE_UP,Visitor Lookalike Audience 1% before 4/01 | Short Lander | CGM Product,CGM image to Lady,4,2020,facebook,feed,mobile_app,289,292,,8.53,0.71,12,18,0.47,29.21,6.16,1.01
1,CGM_RISE_UP,Visitor Lookalike Audience 1% before 4/01 | Short Lander | CGM Product,CGM image to Lady,4,2020,facebook,feed,mobile_web,30,30,,0.79,,,0,,26.33,0,1
1,CGM_RISE_UP,Medtronic | Short Lander | CGM Product,CGM image to Lady,4,2020,facebook,feed,mobile_web,1,1,,0.01,,,0,,10,0,1
1,CGM_RISE_UP,Abbott FreeStyle | Short Lander | CGM Product,CGM image to Lady,4,2020,facebook,feed,mobile_app,1,1,,0,,,0,,0,0,1
1,CGM_RISE_UP,Visitor Lookalike Audience 1% before 4/01 | Short Lander | CGM Product,CGM image to Lady,4,2020,facebook,feed,desktop,108,109,,2.18,,,0,,20,0,1.01
1,CGM_RISE_UP,Medtronic | Short Lander | CGM Product,CGM image to Lady,4,2020,facebook,feed,mobile_app,51,56,,2.42,2.42,1,2,1.21,43.21,3.57,1.1
1,CGM_RISE_UP,Abbott FreeStyle | Short Lander | CGM Product,CGM image to Lady,4,2020,facebook,feed,mobile_web,1,1,,0,,,0,,0,0,1
1,CGM_RISE_UP,Visitor Lookalike Audience 1% before 4/01 | Short Lander | CGM Product,CGM image to Lady,4,2020,instagram,feed,mobile_app,47,47,,2.19,,,1,2.19,46.6,2.13,1
1,CGM_RISE_UP,Dexcom,CGM image to Lady,4,2020,facebook,instream_video,mobile_app,3,4,,0.03,,,0,,7.5,0,1.33
1,CGM_RISE_UP,Medtronic | Short Lander | CGM Product,CGM image to Lady,4,2020,facebook,feed,desktop,9,10,,0.2,,,0,,20,0,1.11
2,CGM_RISE_UP,Cure Type 1 Diabetes,CGM image to Lady,4,2020,facebook,feed,mobile_app,2,2,,0.07,,,0,,70,0,2
2,CGM_RISE_UP,Cure Type 1 Diabetes,CGM image to Lady,4,2020,facebook,feed,mobile_web,2,2,,0.04,,,0,,40,0,2
5,CGM_RISE_UP,"Remarketing: CGM Ad 1 | Short Lander | Insulin, Nutrition, Pancreas, Meal Prep | CGM Product",CGM image to Lady,4,2020,facebook,feed,desktop,33,36,,1.03,,,0,,148.13,0,5.34
5,CGM_RISE_UP,Metronic,CGM image to Lady,4,2020,facebook,feed,desktop,38,40,,1.44,1.24,3,3,1.24,142.67,40.01,5.25
5,CGM_RISE_UP,Dexcom,CGM image to Lady,4,2020,facebook,feed,desktop,416,425,,14.49,4.52,11,15,5.17,157.51,17.85,5.14
5,CGM_RISE_UP,Abbott Freestyle,CGM image to Lady,4,2020,facebook,feed,desktop,22,22,,0.44,0.17,1,1,0.17,104.12,20,5
5,CGM_RISE_UP,Abbott Freestyle,CGM image to Lady,4,2020,instagram,feed,mobile_app,11,11,,0.32,,,0,,141.67,0,5
5,CGM_RISE_UP,"Remarketing: CGM Ad 1 | Short Lander | Insulin, Nutrition, Pancreas, Meal Prep | CGM Product",CGM image to Lady,4,2020,facebook,feed,mobile_web,10,11,,0.16,,,0,,90,0,5.25
5,CGM_RISE_UP,Lookalike Audience Visitors,CGM image to Lady,4,2020,facebook,feed,desktop,1145,1154,,35.7,7.67,8,14,6.79,153.08,4.16,5.05
6,CGM_RISE_UP,Cure Type 1 Diabetes,CGM image to Lady,4,2020,instagram,feed,mobile_app,10,10,,0.13,,,0,,67.5,0,6
7,CGM_RISE_UP,Abbott Freestyle,CGM image to Lady,4,2020,facebook,feed,mobile_web,11,11,,0.09,,,0,,80,0,7
8,CGM_RISE_UP,"Remarketing: CGM Ad 1 | Short Lander | Insulin, Nutrition, Pancreas, Meal Prep | CGM Product",CGM image to Lady,4,2020,instagram,feed,mobile_app,20,20,,0.49,,,0,,210,0,8
9,CGM_RISE_UP,Metronic,CGM image to Lady,4,2020,facebook,feed,mobile_web,32,32,,0.95,,,0,,358.75,0,9
10,CGM_RISE_UP,Dexcom,CGM image to Lady,4,2020,facebook,feed,mobile_web,281,288,,9.25,4.52,6,9,4.71,339.65,31.93,10.21
10,CGM_RISE_UP,Dexcom,CGM image to Lady,4,2020,instagram,feed,mobile_app,315,318,,9.19,4.36,7,7,4.36,264.82,16.9,10.12
10,CGM_RISE_UP,Abbott Freestyle,CGM image to Lady,4,2020,facebook,feed,mobile_app,104,108,,2.51,0.85,1,1,0.85,228.68,2.7,10.61
10,CGM_RISE_UP,Lookalike Audience Visitors,CGM image to Lady,4,2020,facebook,feed,mobile_app,10824,10970,73.71,309.68,27.68,129,228,15.21,291.92,20.65,10.12
10,CGM_RISE_UP,Lookalike Audience Visitors,CGM image to Lady,4,2020,facebook,feed,mobile_web,1459,1485,,34.67,17.03,13,20,21.4,234.35,20.64,10.14
10,CGM_RISE_UP,Metronic,CGM image to Lady,4,2020,instagram,feed,mobile_app,136,136,,5.6,2.08,4,4,2.08,331.48,23.19,10
10,CGM_RISE_UP,"Remarketing: CGM Ad 1 | Short Lander | Insulin, Nutrition, Pancreas, Meal Prep | CGM Product",CGM image to Lady,4,2020,facebook,feed,mobile_app,144,153,,6.31,2.55,4,8,1.85,396.22,42.31,10.61
10,CGM_RISE_UP,Lookalike Audience Visitors,CGM image to Lady,4,2020,instagram,feed,mobile_app,1741,1745,,36.58,18.27,21,21,18.27,218.52,12.11,10.01
10,CGM_RISE_UP,Dexcom,CGM image to Lady,4,2020,facebook,feed,mobile_app,3515,3599,,128.11,22.03,63,150,9.11,362.64,43.42,10.25
10,CGM_RISE_UP,Metronic,CGM image to Lady,4,2020,facebook,feed,mobile_app,443,448,,19.93,6.37,4,10,9.13,439.63,18.82,10.09
1,CGM_RISE_UP,"Lookalike (US, 5%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,audience_network,an_classic,desktop,1,1,,0.01,,,0,,10,0,1
1,CGM_RISE_UP,"Lookalike (US, 5%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,messenger,messenger_stories,mobile_app,1,1,,0.02,,,0,,20,0,1
1,CGM_RISE_UP,"Lookalike (US, 3%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,audience_network,an_classic,desktop,1,1,,0.03,,,0,,30,0,1
1,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,6,2020,facebook,search,mobile_app,1,1,,0,,,0,,0,0,1
1,CGM_RISE_UP,"Lookalike (US, 8%) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,audience_network,an_classic,desktop,3,3,,0.01,,,0,,3.33,0,1
1,CGM_RISE_UP,"Lookalike (US, 8%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,audience_network,an_classic,desktop,1,1,,0.02,,,0,,20,0,1
2,CGM_RISE_UP,"Lookalike (US, 3%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,instagram,instagram_explore,mobile_app,7,7,,0.15,,,0,,36,0,2
2,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,6,2020,audience_network,an_classic,desktop,2,2,,0.05,,,0,,50,0,2
2,CGM_RISE_UP,"Lookalike (US, 5%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,instant_article,mobile_app,4,5,,0.19,,,0,,47.5,0,2.33
2,CGM_RISE_UP,"Lookalike (US, 8%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,instagram,instagram_stories,mobile_app,3,3,,0.07,,,0,,40,0,2
2,CGM_RISE_UP,"Lookalike (US, 3%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,facebook_stories,mobile_app,8,8,,0.42,,,1,0.38,94.29,14.29,2
2,CGM_RISE_UP,"Lookalike (US, 3%) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,audience_network,an_classic,desktop,2,3,,0.1,,,0,,55,0,3
2,CGM_RISE_UP,"Lookalike (US, 3%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,instagram,instagram_stories,mobile_app,4,4,,0.17,,,0,,63.33,0,2
2,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,search,mobile_app,2,2,,0.01,,,0,,10,0,2
3,CGM_RISE_UP,"Lookalike (US, 8%) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,audience_network,rewarded_video,desktop,15,30,,0.32,,,0,,20.68,0,7.83
3,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,audience_network,an_classic,desktop,4,4,,0.02,,,0,,10,0,3
3,CGM_RISE_UP,"Lookalike (US, 8%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,instagram,instagram_explore,mobile_app,4,4,,0.07,,,0,,60,0,3
4,CGM_RISE_UP,"Lookalike (US, 3%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,instant_article,mobile_app,5,5,,0.02,,,0,,15,0,4
4,CGM_RISE_UP,"Lookalike (US, 3%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,feed,mobile_web,5,5,,0.24,,,0,,180,0,4
4,CGM_RISE_UP,"Lookalike (US, 3%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,audience_network,rewarded_video,desktop,12,28,,0.87,,,0,,114,0,7.5
4,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,messenger,messenger_stories,mobile_app,6,6,,0.36,,,0,,255,0,4
5,CGM_RISE_UP,"Lookalike (US, 5%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,facebook_stories,mobile_app,10,10,,0.77,,,0,,527,0,5
5,CGM_RISE_UP,"Lookalike (US, 8%) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,feed,mobile_web,9,9,,0.72,,,0,,560,0,5
5,CGM_RISE_UP,"Lookalike (US, 8%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,facebook_stories,mobile_app,8,8,,0.2,,,0,,165,0,5
5,CGM_RISE_UP,"Lookalike (US, 5%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,audience_network,rewarded_video,desktop,8,25,,0.39,,,0,,85.83,0,15.67
5,CGM_RISE_UP,"Lookalike (US, 3%) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,facebook_stories,mobile_app,14,14,,0.39,,,0,,125.71,0,5
5,CGM_RISE_UP,"Lookalike (US, 3%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,instream_video,mobile_app,13,13,0.17,0.47,0.17,1,2,0.09,153.33,33.33,5
5,CGM_RISE_UP,"Lookalike (US, 8%) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,facebook_stories,mobile_app,16,16,,0.56,,,0,,202.14,0,5
5,CGM_RISE_UP,"Lookalike (US, 8%) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,instagram,instagram_explore,mobile_app,6,6,,0.12,,,0,,110,0,5
5,CGM_RISE_UP,"Lookalike (US, 3%) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,audience_network,rewarded_video,desktop,13,20,,0.36,0.12,1,1,0.12,86.19,25,7.83
6,CGM_RISE_UP,"Lookalike (US, 8%) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,instagram,instagram_stories,mobile_app,15,16,,0.41,,,0,,94.29,0,6.17
6,CGM_RISE_UP,"Lookalike (US, 5%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,instagram,instagram_stories,mobile_app,14,14,,0.64,0.38,1,1,0.38,225,25,6
6,CGM_RISE_UP,"Lookalike (US, 3%) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,instagram,instagram_explore,mobile_app,12,12,,0.28,,,0,,143.33,0,6
6,CGM_RISE_UP,"Lookalike (US, 3%) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,instagram,instagram_stories,mobile_app,10,10,,0.11,,,0,,60,0,6
6,CGM_RISE_UP,"Lookalike (US, 3%) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,feed,mobile_web,7,7,,0.29,,,0,,230,0,6
6,CGM_RISE_UP,"Lookalike (US, 8%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,audience_network,rewarded_video,desktop,14,21,,0.36,,,0,,93.33,0,9.15
6,CGM_RISE_UP,"Lookalike (US, 5%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,instagram,instagram_explore,mobile_app,13,13,,0.27,,,0,,123.33,0,6
7,CGM_RISE_UP,"Lookalike (US, 3%) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,instant_article,mobile_app,23,24,,0.54,0.11,1,2,0.06,178.33,100,7.09
7,CGM_RISE_UP,"Lookalike (US, 3%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,marketplace,mobile_app,28,28,,0.68,0.11,1,1,0.11,154.5,20,7
7,CGM_RISE_UP,"Lookalike (US, 8%) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,instant_article,mobile_app,21,22,,0.54,0.14,1,1,0.14,191.66,16.67,8
7,CGM_RISE_UP,"Lookalike (US, 5%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,feed,mobile_web,12,12,,1.3,0.98,1,2,0.49,600,66.67,7
8,CGM_RISE_UP,"Lookalike (US, 3%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,instagram,feed,mobile_app,79,80,,2.98,1.47,1,1,1.47,295.79,2.33,8.02
8,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,6,2020,audience_network,rewarded_video,desktop,19,26,,0.36,,,0,,103.99,0,11
9,CGM_RISE_UP,"Lookalike (US, 3%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,feed,mobile_app,334,334,4.45,22.46,17.73,11,11,17.73,617.63,20.27,9
9,CGM_RISE_UP,"Lookalike (US, 3%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,audience_network,an_classic,mobile_app,327,477,,12.45,6.62,7,7,6.62,348.13,19.62,12.71
9,CGM_RISE_UP,"Lookalike (US, 8%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,instant_article,mobile_app,31,35,,1.25,0.27,1,1,0.27,342.73,14.29,10.5
9,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,audience_network,rewarded_video,desktop,45,69,,1.12,0.36,2,2,0.36,83.02,5.56,15.7
